id	condition1	chao1
#q2:types	categorical	numeric
SRR14300646	MANURE	11
SRR14300647	MANURE	5
SRR14300648	MANURE	10
SRR14300649	MANURE	0
SRR14300650	MANURE	1
SRR14300651	MANURE	3
SRR14300652	MANURE	11
SRR14300653	SILAGE	7
SRR14300654	MANURE	5
SRR14300655	MANURE	0
SRR14300656	MANURE	0
SRR14300657	MANURE	0
SRR14300658	MANURE	8
SRR14300659	MANURE	19
SRR14300660	MANURE	6
SRR14300661	MANURE	9
SRR14300662	MANURE	6
SRR14300663	MANURE	12
SRR14300664	SILAGE	10
SRR14300665	MANURE	12
SRR14300666	MANURE	2
SRR14300667	MANURE	12
SRR14300668	MANURE	0
SRR14300669	MANURE	1
SRR14300670	MANURE	5
SRR14300671	MANURE	4
SRR14300672	MANURE	6
SRR14300673	MANURE	11
SRR14300674	MANURE	65.3333333333333
SRR14300675	SILAGE	5
SRR14300676	MANURE	13
SRR14300677	MANURE	68
SRR14300678	MANURE	13
SRR14300679	MANURE	61.2
SRR14300680	MANURE	8
SRR14300681	MANURE	0
SRR14300682	MANURE	0
SRR14300683	MANURE	3
SRR14300684	MANURE	11
SRR14300685	MANURE	6
SRR14300686	SILAGE	3
SRR14300687	MANURE	235
SRR14300688	MANURE	2
SRR14300689	MANURE	2
SRR14300690	MANURE	3
SRR14300691	MANURE	4
SRR14300692	MANURE	5
SRR14300693	MANURE	4
SRR14300694	MANURE	0
SRR14300695	MANURE	0
SRR14300696	MANURE	1
SRR14300697	SILAGE	8
SRR14300698	MANURE	3
SRR14300699	MANURE	3
SRR14300700	MANURE	1
SRR14300701	MANURE	8
SRR14300702	MANURE	1
SRR14300703	MANURE	3
SRR14300704	MANURE	3
SRR14300705	MANURE	25
SRR14300706	MANURE	15
SRR14300707	MANURE	0
SRR14300708	SILAGE	3
SRR14300709	MANURE	2
SRR14300710	MANURE	1
SRR14300711	MANURE	4
SRR14300712	MANURE	4
SRR14300713	MANURE	3
SRR14300714	FOODWASTE	1
SRR14300715	FOODWASTE	1
SRR14300716	FOODWASTE	4
SRR14300717	FOODWASTE	4
SRR14300718	FOODWASTE	15
SRR14300719	SILAGE	6
SRR14300720	FOODWASTE	2
SRR14300721	FOODWASTE	0
SRR14300722	FOODWASTE	3
SRR14300723	FOODWASTE	4
SRR14300724	FOODWASTE	13
SRR14300725	FOODWASTE	18
SRR14300726	FOODWASTE	15
SRR14300727	FOODWASTE	26
SRR14300728	FOODWASTE	23
SRR14300729	FOODWASTE	21
SRR14300730	SILAGE	4
SRR14300731	FOODWASTE	22
SRR14300732	FOODWASTE	15
SRR14300733	FOODWASTE	27
SRR14300734	FOODWASTE	0
SRR14300735	FOODWASTE	4
SRR14300736	FOODWASTE	13
SRR14300737	FOODWASTE	10
SRR14300738	FOODWASTE	8
SRR22681385	ALGAE	0
SRR22681386	ALGAE	3
SRR22681387	ALGAE	0
SRR22681388	ALGAE	1
SRR22681389	ALGAE	2
SRR22681390	ALGAE	1
SRR22681391	ALGAE	2
SRR22681392	ALGAE	4
SRR22681393	ALGAE	2
SRR22681394	ALGAE	0
SRR22681395	ALGAE	4
SRR22681396	ALGAE	3
SRR6173195	MIXED	20
SRR6173196	MIXED	42
SRR6173197	MIXED	14
SRR6173198	MIXED	34
SRR6173199	MIXED	35
SRR6173200	MIXED	16
SRR6173201	MIXED	71
SRR6173202	MIXED	81
SRR6173203	MIXED	32
SRR6173204	MIXED	36
SRR6173205	MIXED	36
SRR6173206	MIXED	24
SRR6173207	MIXED	84
SRR6173208	MIXED	35
SRR6173209	MIXED	27
SRR6173210	MIXED	13
SRR6173211	MIXED	27
SRR6173212	MIXED	32
SRR6173213	MIXED	51
SRR6173214	MIXED	31
SRR6173215	MIXED	33
SRR6173216	MIXED	52
SRR6173217	MIXED	82
SRR6173218	MIXED	38
SRR6173219	MIXED	60
SRR6173220	MIXED	34
SRR6173221	MIXED	21
SRR6173222	MIXED	58
SRR6173223	MIXED	23
SRR6173224	MIXED	12
SRR6173225	MIXED	19
SRR6173226	MIXED	23
SRR6173227	MIXED	9
SRR6173228	MIXED	17
SRR6173229	MIXED	3
SRR6173230	MIXED	40
SRR6173231	MIXED	22
SRR6173232	MIXED	18
SRR6173233	MIXED	48
SRR6173234	MIXED	113.5
SRR6173235	MIXED	16
SRR6173236	MIXED	36
SRR6173237	MIXED	17
SRR6173238	MIXED	35
SRR6173239	MIXED	25
SRR6173240	MIXED	27
SRR6173241	MIXED	24
SRR6173242	MIXED	17
SRR6173243	MIXED	21
SRR6173244	MIXED	28
SRR6173245	MIXED	34
SRR6173246	MIXED	39
SRR6173247	MIXED	38
SRR6173248	MIXED	40
SRR6173249	MIXED	49
SRR6173250	MIXED	45
SRR6173251	MIXED	27
SRR5808316	MIXED	12
SRR5808317	MIXED	15
SRR5808318	MIXED	19
SRR5808319	MIXED	14
SRR5808320	MIXED	18
SRR5808321	MIXED	44
SRR5808322	MIXED	13
SRR5808323	MIXED	6
SRR5808324	MIXED	20
SRR5808325	MIXED	10
SRR5808326	MIXED	78.5
SRR5808327	MIXED	65
SRR5808328	MIXED	46.5
SRR5808329	MIXED	85
SRR5808330	MIXED	42
SRR5808331	MIXED	70
SRR5808332	MIXED	20
SRR5808333	MIXED	24
SRR5808334	MIXED	57
SRR5808335	MIXED	41
SRR5808336	MIXED	9
SRR5808337	MIXED	13
SRR5808338	MIXED	8
SRR5808339	MIXED	9
SRR5808340	MIXED	27
SRR5808341	MIXED	17
SRR5808342	MIXED	40
SRR5808343	MIXED	42
SRR5808344	MIXED	11
SRR5808345	MIXED	24
SRR5808346	MIXED	88
SRR5808347	MIXED	60
SRR5808348	MIXED	31
SRR5808349	MIXED	19
SRR5808350	MIXED	48
SRR5808351	MIXED	62
SRR5808352	MIXED	71
SRR5808353	MIXED	64
SRR5808354	MIXED	19
SRR5808355	MIXED	19
SRR5808356	MIXED	61
SRR5808357	MIXED	74
SRR5808358	MIXED	39
SRR5808359	MIXED	58
SRR5808360	MIXED	29
SRR5808361	MIXED	113.5
SRR5808362	MIXED	11
SRR5808363	MIXED	75
SRR5808364	MIXED	25
SRR5808365	MIXED	15
SRR5808366	MIXED	15
SRR5808367	MIXED	9
SRR5808368	MIXED	29.5
SRR5808369	MIXED	20
SRR5808370	MIXED	38
SRR5808371	MIXED	13
SRR5808372	MIXED	3
SRR5808373	MIXED	83.3333333333333
SRR5808374	MIXED	14
SRR5808375	MIXED	24
SRR5808376	MIXED	40
SRR5808377	MIXED	51
SRR5808378	MIXED	7
SRR5808379	MIXED	23
SRR5808380	MIXED	23
SRR5808381	MIXED	64
SRR5808382	MIXED	23
SRR5808383	MIXED	38
SRR5808384	MIXED	24
SRR5808385	MIXED	36.5
SRR5808386	MIXED	35
SRR5808387	MIXED	28
SRR5808388	MIXED	8
SRR5808389	MIXED	31
SRR5808390	MIXED	10
SRR5808391	MIXED	27
SRR5808392	MIXED	11
SRR5808393	MIXED	24
SRR5808394	MIXED	21
SRR5808395	MIXED	67
SRR5808396	MIXED	26
SRR5808397	MIXED	20
SRR5808398	MIXED	30
SRR5808399	MIXED	23
SRR5808400	MIXED	18
SRR5808401	MIXED	9
SRR5808402	MIXED	23
SRR5808403	MIXED	20
SRR5808404	MIXED	18
SRR5808405	MIXED	22
SRR5808406	MIXED	23
SRR5808407	MIXED	26
SRR5808408	MIXED	15
SRR5808409	MIXED	8
SRR5808410	MIXED	19
SRR5808411	MIXED	10
SRR5808412	MIXED	13
SRR5808413	MIXED	15
SRR5808414	MIXED	12
SRR5808415	MIXED	10
SRR5808416	MIXED	26
SRR5808417	MIXED	43
SRR5808418	MIXED	14
SRR5808419	MIXED	18
SRR5808420	MIXED	37
SRR5808421	MIXED	14
SRR5808422	MIXED	43
SRR5808423	MIXED	16
SRR5808424	MIXED	58
SRR5808425	MIXED	12
SRR5808426	MIXED	22
SRR5808427	MIXED	46
SRR5808428	MIXED	34
SRR5808429	MIXED	34
SRR3166006	FOODWASTE	17
SRR3166007	FOODWASTE	53.2
SRR2312703	FOODWASTE	0
SRR2420280	FOODWASTE	0
SRR3161878	FOODWASTE	0
SRR21103440	SYNTHETIC	11
SRR21103441	SYNTHETIC	13
SRR21103442	SYNTHETIC	6
SRR21103443	SYNTHETIC	3
SRR21103444	SYNTHETIC	5
SRR21103445	SYNTHETIC	9
SRR21103446	SYNTHETIC	3
SRR21103447	SYNTHETIC	7
SRR21103448	SYNTHETIC	8
SRR21103449	SYNTHETIC	18
SRR21103450	SYNTHETIC	7
SRR21103451	SYNTHETIC	2
SRR21103452	SYNTHETIC	9
SRR21103453	SYNTHETIC	8
SRR21103454	SYNTHETIC	7
SRR21103455	SYNTHETIC	11
SRR21103456	SYNTHETIC	9
SRR21103457	SYNTHETIC	3
SRR21103458	SYNTHETIC	6
SRR21103459	SYNTHETIC	8
SRR21103460	SYNTHETIC	7
SRR21103461	SYNTHETIC	8
SRR21103462	SYNTHETIC	4
SRR21103463	SYNTHETIC	7
SRR21103464	SYNTHETIC	6
SRR21103465	SYNTHETIC	13
SRR21103466	SYNTHETIC	9
SRR21103467	SYNTHETIC	13
SRR21103468	SYNTHETIC	13
SRR21103469	SYNTHETIC	9
SRR21103470	SYNTHETIC	6
SRR21103471	SYNTHETIC	8
SRR21103472	SYNTHETIC	7
SRR21103473	SYNTHETIC	6
SRR21103474	SYNTHETIC	6
SRR21103475	SYNTHETIC	13
SRR21103476	SYNTHETIC	7
SRR21103477	SYNTHETIC	7
SRR21103478	SYNTHETIC	21
SRR21103479	SYNTHETIC	11
SRR21103480	SYNTHETIC	2
SRR21103481	SYNTHETIC	10
SRR21103482	SYNTHETIC	9
SRR21103483	SYNTHETIC	9
SRR21103484	SYNTHETIC	8
SRR21103485	SYNTHETIC	13
SRR21103486	SYNTHETIC	6
SRR21103487	SYNTHETIC	6
SRR21103488	SYNTHETIC	11
SRR21103489	SYNTHETIC	11
SRR21103490	SYNTHETIC	13
SRR21103491	SYNTHETIC	3
SRR21103492	SYNTHETIC	5
SRR21103493	SYNTHETIC	5
SRR21103494	SYNTHETIC	5
SRR21103495	SYNTHETIC	12
SRR21103496	SYNTHETIC	6
SRR21103497	SYNTHETIC	13
SRR21103498	SYNTHETIC	18
SRR21103499	SYNTHETIC	18
SRR21103500	SYNTHETIC	15
SRR21103501	SYNTHETIC	14
SRR23782922	SYNTHETIC	73
SRR23782923	SYNTHETIC	54
SRR23782924	SYNTHETIC	99
SRR21283101	MANURE	10
SRR21283102	MANURE	28
SRR21283103	MANURE	4
SRR21283104	MANURE	19
SRR21283105	MANURE	0
SRR21283106	MANURE	2
SRR21283107	MANURE	11
SRR21283108	MANURE	1
SRR21283109	MANURE	2
SRR21283110	MANURE	0
SRR21283111	MANURE	1
SRR21283112	MANURE	16
SRR21283113	MANURE	6
SRR21283114	MANURE	8
SRR21283115	MANURE	17
SRR21283116	MANURE	0
SRR21283117	MANURE	0
SRR21283118	MANURE	6
SRR21283119	MANURE	1
SRR21283120	MANURE	2
SRR21283121	MANURE	7
SRR21283122	MANURE	11
SRR21283123	MANURE	0
SRR21283124	MANURE	15
SRR21283125	MANURE	7
SRR21465144	DOMESTIC-URBAN	127
SRR21465145	DOMESTIC-URBAN	92
SRR21465146	DOMESTIC-URBAN	122
SRR21465147	DOMESTIC-URBAN	123
SRR21465148	DOMESTIC-URBAN	128
SRR21465149	DOMESTIC-URBAN	92
SRR2392481	VINASSE	19.5
SRR2346090	VINASSE	13
SRR2320475	VINASSE	9
SRR2218496	VINASSE	13
SRR2239272	VINASSE	22.5
SRR2243221	VINASSE	16.5
SRR2193375	VINASSE	6
SRR2193668	VINASSE	2
SRR4450465	MANURE	0
SRR4450466	MANURE	0
SRR4450467	MANURE	0
SRR4450468	MANURE	0
SRR4450469	MANURE	0
SRR4450470	MANURE	0
SRR4450471	MANURE	0
SRR4450472	MANURE	0
SRR4450473	MANURE	0
SRR4450474	MANURE	0
SRR4450475	MANURE	0
SRR4450476	MANURE	0
SRR4450477	MANURE	0
SRR4450478	MANURE	1
SRR4450479	MANURE	0
SRR4450480	MANURE	0
SRR4450481	MANURE	0
SRR4450482	MANURE	0
SRR4450483	MANURE	0
SRR4450484	MANURE	0
SRR5436374	ALGAE	24.3333333333333
SRR5436375	ALGAE	23.4
SRR5436376	ALGAE	15.25
SRR5436377	ALGAE	17.75
SRR5436378	ALGAE	14.4285714285714
SRR5436379	ALGAE	52.75
SRR5436380	ALGAE	73.8947368421053
SRR5436381	ALGAE	40.75
SRR5436382	ALGAE	34.2142857142857
SRR5436383	ALGAE	32.5
SRR7268534	SYNTHETIC	0
SRR7268535	SYNTHETIC	59
SRR7268536	SYNTHETIC	4
SRR7268537	SYNTHETIC	51
SRR7268538	SYNTHETIC	4
SRR7268539	SYNTHETIC	83
SRR7268540	SYNTHETIC	0
SRR7268541	SYNTHETIC	36
SRR7268542	SYNTHETIC	3
SRR7268543	SYNTHETIC	61
SRR7268544	SYNTHETIC	109
SRR7268545	SYNTHETIC	69.5
SRR7268546	SYNTHETIC	61
SRR7268547	SYNTHETIC	1
SRR7268548	SYNTHETIC	6
SRR7268549	SYNTHETIC	42
SRR7268550	SYNTHETIC	92
SRR7268551	SYNTHETIC	52
SRR7268552	SYNTHETIC	2
SRR7268553	SYNTHETIC	107
SRR7268554	SYNTHETIC	0
SRR7268555	SYNTHETIC	52
SRR7268556	SYNTHETIC	14.5
SRR7268557	SYNTHETIC	46
SRR20650155	SILAGE	550
SRR20650156	SILAGE	370
SRR20650157	SILAGE	515.058823529412
SRR20650158	SILAGE	460.789473684211
SRR20650159	SILAGE	351.857142857143
SRR20650160	SILAGE	456.1
SRR20650161	SILAGE	493.142857142857
SRR20650162	SILAGE	510
SRR20650163	SILAGE	421.111111111111
SRR20650164	SILAGE	516.5
SRR20650165	SILAGE	381.857142857143
SRR20650166	SILAGE	456.5
SRR20650167	SILAGE	603.909090909091
SRR20650168	SILAGE	517.5
SRR20650169	SILAGE	602.111111111111
SRR20650170	SILAGE	559
SRR20650171	SILAGE	351.25
SRR20650172	SILAGE	585.090909090909
SRR20650173	SILAGE	394.363636363636
SRR20650174	SILAGE	584.153846153846
SRR20650175	SILAGE	494.166666666667
SRR20650176	SILAGE	372.2
SRR20650177	SILAGE	491
SRR20650178	SILAGE	489.769230769231
SRR20650179	SILAGE	487.545454545455
SRR20650180	SILAGE	427.272727272727
SRR20650181	SILAGE	375.125
SRR20650182	SILAGE	373.75
SRR20650183	SILAGE	534.714285714286
SRR20650184	SILAGE	423.235294117647
SRR20650185	SILAGE	443.428571428571
SRR20650186	SILAGE	513
SRR20650187	SILAGE	382.6
SRR20650188	SILAGE	656.083333333333
SRR20650189	SILAGE	310.6
SRR6484253	FOODWASTE	58
SRR6484258	FOODWASTE	15.2
SRR6484259	FOODWASTE	2
SRR6484260	FOODWASTE	16.5
SRR6484261	FOODWASTE	0
SRR6484262	FOODWASTE	4
SRR6484263	FOODWASTE	15.5
SRR6484264	FOODWASTE	10.3333333333333
SRR6484265	FOODWASTE	7
SRR6484266	FOODWASTE	9
SRR6484267	FOODWASTE	18.6
SRR6484268	FOODWASTE	14
SRR6484273	FOODWASTE	6.75
SRR6484276	FOODWASTE	7
SRR6484277	FOODWASTE	8.5
SRR6484278	FOODWASTE	14
SRR6484279	FOODWASTE	14
SRR6484280	FOODWASTE	17.5
SRR6484281	FOODWASTE	16
SRR6484246	FOODWASTE	19
SRR6484247	FOODWASTE	35.1666666666667
SRR6484248	FOODWASTE	2
SRR6484249	FOODWASTE	29
SRR6484250	FOODWASTE	16
SRR6484251	FOODWASTE	9
SRR6484252	FOODWASTE	40.5
SRR6484254	FOODWASTE	14.875
SRR6484255	FOODWASTE	18.5
SRR6484256	FOODWASTE	3
SRR6484257	FOODWASTE	2
SRR6484269	FOODWASTE	5
SRR6484270	FOODWASTE	3
SRR6484271	FOODWASTE	11.5
SRR6484272	FOODWASTE	11
SRR6484274	FOODWASTE	0
SRR6484275	FOODWASTE	3
SRR7698539	SYNTHETIC	1
SRR2158275	MANURE	3681
